Primary Name	Aliases	Gender	BirthDateRaw	BirthYear	BirthMonth	BirthDay	DeathDateRaw	DeathYear	DeathMonth	DeathDay	Occupation	BirthPlaceRaw	DeathPlaceRaw
Abeille	Louis-Paul Abeille	Male	1719	1719-00-00			1807	1807-00-00			economist, secretary of commerce		Paris, France
Adanson	Michel Adanson	Male	1727	1727-00-00			1806	1806-00-00			naturalist	Aix-en-Provence, France	
Adhémar	Antoine-Honneste Adhémar marquis d'Adhémar Antoine-Honneste de Monteil de Brunier, marquis d'Adhémar	Male	c.1710	1710-00-00			1785	1785-00-00			courtier, army officer		
Allamand	Jean-Nicolas-Sébastien Allamand	Male	1713	1713-00-00			1787	1787-00-00			natural philosopher	Lausanne, Switzerland	
Amelot de Chaillou	Antoine-Jean Amelot de Chaillou	Male	1732	1732-00-00			1795	1795-00-00			politician, Secretary of State of the Maison du Roi		
Angiviller	Charles-Claude Angiviller comte d'Angiviller  Charles-Claude de Flahault de la Billarderie, comte d'Angiviller	Male	1730	1730-00-00			1809	1809-00-00				Saint-Remy-en-l'Eau, France	Altona, Danemark
Anisson-Duperron	Jacques II ? Anisson-Duperron	Male	1701	1701-00-00			1788	1788-00-00			printer (directeur de l'Imprimerie royale de 1733 à 1783)		
Anjou abbé d'	 Anjou abbé d' abbé d'Anjou 	Male											
Ansse de Villoison	Jean-Baptiste-Gaspard Ansse de Villoison::Jean-Baptiste-Gaspard d'Ansse de Villoison	Male	1750	1750-00-00			1805	1805-00-00			classical scholar	Corbeil-sur-Seine, France	
Argens	Jean-Baptiste Argens marquis d'Argens Jean-Baptiste de Boyer, marquis d'Argens	Male	1703	1703-00-00			1771	1771-00-00			philosopher and writer	Aix-en-Provence, France	Toulon, France
Argenson  Marc-Pierre	Marc-Pierre Argenson  comte d'Argenson Marc-Pierre de Voyer de Paulmy, comte d'Argenson	Male	1696	1696-00-00			1764	1764-00-00			politician, 1743 secretary of state for war	Paris, France	Paris, France
