Raw	City	Country	Region	Coords
Oxford, Oxfordshire, England	Oxford	England	Oxfordshire	51.7511111111, -1.25583333333
Ruotsinsalmi/Svensksund, near Kotka, Southern Finland, Finland	Ruotsinsalmi/Svensksund, near Kotka	Finland	Southern Finland	60.4666666667, 26.9333333333
Anet, Eure-et-Loir, France	Anet	France	Eure-et-Loir	48.85642,1.43981
Languedoc region, France		France	Languedoc-Roussillon	43.6667, 3.1667
Malesherbes, Loiret, France	Malesherbes	France	Loiret	48.3, 2.4167
Richelieu, Indre-et-Loire, France	Richelieu	France	Indre-et-Loire	47.01389,0.32406
Bloomsbury, New Jersey, United States of America	Bloomsbury	United States of America	New Jersey	40.655, -75.0827777778
Edirne/Adrianople, province of Edirne, Turkey	Edirne/Adrianople	Turkey	province of Edirne	41.6744444444, 26.5608333333
Vesancy, Rhône-Alpes, France	Vesancy	France	Rhône-Alpes	46.3494444444, 6.09138888889
Pontesbury, Shropshire, England	Pontesbury	England	Shropshire	52.65, -2.8833
Valetta, province of Utrecht, Malta	Valetta	Malta	province of Utrecht	35.8997222222, 14.5147222222
château d'Héverlé, Louvain, province of Flemish Brabant, Belgium	château d'Héverlé, Louvain	Belgium	province of Flemish Brabant	50.878987, 4.701515
Pagham, Sussex, England	Pagham	England	Sussex	50.7703, -0.7449
Easthampstead Park, Bracknell, Berkshire, England	Easthampstead Park, Bracknell	England	Berkshire	51.416, -0.749
Byfleet, Surrey, England	Byfleet	England	Surrey	51.38, -0.3526
Aleppo, Aleppo Governorate, Syria	Aleppo	Syria	Aleppo Governorate	36.2, 37.15
Schoonhoven, South Holland, Netherlands	Schoonhoven	Netherlands	South Holland	51.9478625071, 4.85252380371
Deal, Kent, England	Deal	England	Kent	51.2212925186, 1.40350341797
Verona, Veneto, Italy	Verona	Italy	Veneto	45.43330000,11.00000000
Nice, Alpes-Maritimes, France	Nice	France	Alpes-Maritimes	43.7027777778, 7.26916666667
Basle, canton of Basle, Switzerland	Basle	Switzerland	canton of Basle	47.5584,7.57327
West Grinstead, Sussex, England	West Grinstead	England	Sussex	50.9667, -0.3333
Lisbon, county of Lisbon, Portugal	Lisbon	Portugal	county of Lisbon	38.7, -9.1833
Brodsworth, Yorkshire, England	Brodsworth	England	Yorkshire	53.55, -1.2667
Randall Farm, Leatherhead, Surrey, England	Randall Farm, Leatherhead	England	Surrey	51.2951, -0.3289
Closeburn Castle, Dumfries and Galloway, Scotland	Closeburn Castle	Scotland	Dumfries and Galloway	55.2113888889, -3.71861111111
Burlington, New Jersey, United States of America	Burlington	United States of America	New Jersey	40.0711, -74.8653
La Muette, Paris, Ile-de-France, France	La Muette, Paris	France	Ile-de-France	48.8742, 2.346954
Estouilly, near Ham, Somme, France	Estouilly, near Ham	France	Somme	49.75, 3.0667
Thurso, Caithness, Scotland	Thurso	Scotland	Caithness	58.596, -3.521
New York City, New York, United States of America	New York City	United States of America	New York	40.7142, -74.0064
Château de Marchais, Aisne, France	Château de Marchais	France	Aisne	48.884722, 3.484722
East Windsor, Connecticut, United States of America	East Windsor	United States of America	Connecticut	41.8580550529, -72.6026344299
