FullName	Date of birth	Date of death	EducationInstitute	TeachingPositions	Gender	Place of birth	Place of death	Academies	RelatedTo	Met	Places	Citation	Works written
Agostino Da Mula													
Albert de Gondi	1522-11-04	1602-04-12			Male	Florence	Paris				freebase		
Alessandra Bocchineri Buonamici													
Alessandro Bichi													
Alessandro Bocchineri													
Alessandro Caccia													
Alessandro Caccini													
Alessandro Capoano													
Alessandro D’Este													
Alessandro de’ Medici													
Alessandro Del Monte													
Alessandro Marzimedici	1563-00-00	1630-08-13				Florence	Florence		Vincenzo Marzimedici		Florence (1563-00-00,)::Fiesole (1596-00-00, 1605-07-27)::Florence (1605-07-27, 1630-08-13)		
Alessandro Ninci													
Alessandro Orsini	1592	1626			Male								
Alessandro Peretti di Montalto	1571	1623-06-02			Male		Rome						
Alessandro Piersanti													
Alessandro Sertini													
Alessandro Tadino													
Alfonso Antonini													
Alfonso Fontanelli	1557-02-15	1622-02-11			Male								
Alvise  Mocenigo													
Ambrogio da Tabia													
Andrea Arrighetti													
Andrea Cioli	1573	1641								Ferdinando I, Belisario Vinta, Cristina di Lorena, Cosimo II de' Medici, Ferdinando II de' Medici			
Andrea Gerini													
Andrea Labia													
Andrea Minucci													
Andrea Morosini													
Angelo Contarini													
Angelo de Filiis													
Angelo Rota													
Angelo Sperindio													
Annibale Guiducci													
Annibale Primi													
Antioco Bentivogli													
Antonio Alberti													
Antonio Badelli													
Antonio Barberini													
Antonio da Lendinara													
Antonio de Ville													
Antonio de’ Medici													
Antonio Giggi													
Antonio Hurtado di Mendoza													
Antonio Nardi													
Antonio Quaratesi													
Antonio Querengo													
Antonio Quirini													
Antonio Riccoboni													
Antonio Santini													
Arturo Pannocchieschi													
Arturo Pannocchieschi d’Elci													
Ascanio Piccolomini	1590	1671-09-14			Male				Silvio Piccolomini Senior	Cardinal Francesco Barberini	Siena (1628-12-31,):: Rome (1671-00-00, 1671-09-14)		
Ascanio Piccolomini Aragona													
Ascanio Tortorini													
Asdrubale Barbolani da Montauto													
Asdrubale Barbolani da Montauto													
Assunti dello Studio di Bologna													
Athanasius Kircher	1601-05-02	1680-11-27			Male	Geisa	Rome						Oedipus Aegyptiacus
Attilio Ruggeri													
Aurelio Capra													
Aurelio Gigli													
Baccio Valori													
Baldassare Capra													
Baldassare Capra													
Baldassarre Nardi													
Bartholomaeus Schröter													
Bartolomeo  Balbi													
Bartolomeo  Imperiali													
Bartolomeo Leonardi d’Argensola													
Bartolomeo Leonardi d’Argensola													
Bartolommeo Serni													
Belinghiero Gessi													
Belisario Vinta	1542	1613			Male	Volterra				Galileo Galilei, Grand Duke Cosimo II de' Medici			
Benardino Gaio													
Benedetto  Landucci													
Benedetto Castelli	1578	1643-04-09		University of Pisa, , La Sapienza	Male	Brescia	Rome			Bonaventura Cavalieri, Galileo Galilei, Evangelista Torricelli, Giovanni Alfonso Borelli		http://brunelleschi.imss.fi.it/itineraries/biography/BenedettoCastelli.html	On the measurement of running water
Benedetto Millini													
Benedetto Scalandroni													
Benedetto Zorzi													
Beniamino Engelcke													
Benjamin Ursinus													
Bernado Conti													
Bernardo Gaio													
Bernardo Pisenti													
Bonaventura Cavalieri	1598	1647-11-30	University of Pisa		Male	Milan	Bologna						
Bonifacio da Cardon													
Camillo Borsacchi													
Camillo Germini													
Camillo Gloriosi													
Cappone Capponi													
Don Carlo Barberini	1562-05-28	1630-02-26							Taddeo Barberini				
Carlo Bartoli													
Carlo Bocchineri													
Carlo Castelli													
Carlo Conti													
Carlo Conti													
Carlo de’Medici													
Carlo Gonzaga													
Carlo Muti													
Carlo Rinuccini													
Cassiano dal Pozzo	1588	1657-10-22			Male	Turin	Rome						
Caterina Riccardi Niccolini													
Cesare Cremonini	1550-12-22	1631-07-19	University of Padua, University of Ferrara		Male	Cento	Padua			Torquato Tasso, Galileo Galilei, Paolo Gualdo	Cento (1550-12-22,)		
Cesare d’Este													
Cesare Galletti													
Cesare Marsili													
Cesare Monti													
Chiarissimo Fancelli		1632			Male								
Christoph Grienberger	1561-07-02	1636-03-11			Male	Hall in Tirol	Rome						
Christoph Scheiner	1573-07-25	1650-07-18			Male	Markt Wald	Nysa						
Christopher Clavius	1538-03-25	1612-02-12	University of Coimbra		Male	Bamberg	Rome						
Christopher Clavius	1538-03-25	1612-02-12	University of Coimbra		Male	Bamberg	Rome						
Cipriano Saracinelli													
Ciriaco Rocci													
Claudio Costamezzana													
Clemente da Iseo													
Clemente Egidii													
Conte Conti													
Cornelius Jansen	1585-10-28	1638-05-06			Male	Acquoy	Ypres						
Cosimo I de' Medici, Grand Duke of Tuscany	1519-06-12	1574-04-21			Male	Florence	Florence		Giovanni Cardinal de' Medici, Francesco I de' Medici Grand Duke of Tuscany, Isabella de' Medici, Virginia de' Medici, Garzia de' Medici, Ferdinando I de' Medici Grand Duke of Tuscany, Don Pietro de' Medici, Bia de' Medici, Maria di Cosimo I de' Medici, Lucrezia di Cosimo de Medici				
Cosimo de' Medici													
Cosimo del Sera													
Cosimo Giunti													
Cosimo II de’ Medici													
Cosimo Pinelli													
Cosimo Sassetti													
Costanzo Da Cascio													
Count of Lemos													
Christina, Grand Duchess of Tuscany	1565-08-16	1637-12-19			Female	Nancy	Florence		Charles III Duke of Lorraine, King Henry II Valois of France, Catherine de' Medici Queen of France, Claudia de' Medici, Carlo de' Medici, Maria Maddalena de' Medici, Catherine de' Medici Governor of Siena, Cosimo II de' Medici Grand Duke of Tuscany	Galileo Galilei	Nancy (1565-08-16,)::Florence (1589-00-00, 1637-12-19)		
Christoph Scheiner	1573-07-25	1650-07-18	University of Ingolstadt		Male	Markt Wald	Nysa				Wald (1573-07-25,) Ingolstadt (1601-00-00,)		Rosa Ursina
Cristoph Ferrari													
Curzio Picchena	1553-00-00	1626-06-14			Male					Belisario Vinta, Cosimo II de' Medici, Andrea Cioli, Ferdinando II de' Medici, Galileo Galilei			
D. Ermagora di Padua													
Daniello Antonini													
Dario Tamburelli													
David Riques													
Desiderio Scaglia													
Dino Peri													
Domenico Bonsi													
Domenico Grini													
Domenico Molin													
Domenico Passignano	1559	1636			Male								
Dottori di Filosofia e di Medicina dell’Universita di Bologna													
Edmund Bruce													
